source,target,weight
ADAL,AVAL,1
ADAL,AVAR,2
ADAL,AVBL,3
ADAL,AVBR,1
ADAL,AVHR,1
ADAL,AVJR,2
ADAL,RICR,1
ADAL,RIML,2
ADAR,AVAL,1
ADAR,AVAR,1
ADAR,AVBL,2
ADAR,AVBR,3
ADAR,AVJL,2
ADAR,RICL,1
ADAR,RIMR,3
ADAR,RIPR,1
ADEL,ADER,1
ADEL,AVAR,1
ADEL,FLPL,1
ADEL,RIGR,1
ADEL,SAADR,1
ADER,ADAR,1
ADER,ADEL,1
ADER,AVAL,1
ADER,AVAR,1
ADFL,AIYL,1
ADFL,AIZL,4
ADFL,AIZR,1
ADFL,ASHL,1
ADFL,AUAL,3
ADFL,AWBL,1
ADFL,RIAL,6
ADFL,SMBDL,1
ADFL,SMBVL,2
ADFL,URXL,1
ADFR,AIAR,1
ADFR,AIZR,5
ADFR,ASEL,1
ADFR,AWAR,1
ADFR,RIAR,2
ADFR,SMBVR,1
ADLL,ADAL,2
ADLL,AIAL,4
ADLL,AIBL,4
ADLL,ASEL,3
ADLL,ASKL,2
ADLL,AVDL,1
ADLL,AVDR,2
ADLL,AVJR,1
ADLL,AWCL,4
ADLL,AWCR,1
ADLL,SIADR,1
ADLL,SIBDR,1
ADLR,ADAR,1
ADLR,AIAR,3
ADLR,AIBR,4
ADLR,ASER,1
ADLR,ASHR,1
ADLR,ASKR,4
ADLR,AVDR,1
ADLR,AVJR,1
AFDL,AIYL,2
AFDL,AIYR,1
AFDR,AIBR,1
AFDR,AIYL,1
AFDR,AIYR,4
AFDR,ASER,1
AFDR,AWCL,1
AIAL,ADAL,3
AIAL,AIBL,8
AIAL,ASGL,1
AIAL,ASHL,1
AIAL,ASKL,3
AIAL,AWCL,3
AIAL,AWCR,2
AIAL,PVQL,1
AIAL,RIFL,2
AIAR,ADAR,1
AIAR,AIBR,6
AIAR,ASHR,1
AIAR,ASKR,3
AIAR,AWCL,2
AIAR,RIFR,2
AIBL,AVBL,3
AIBL,RIBL,1
AIBL,RIBR,4
AIBL,RIML,1
AIBL,RIMR,8
AIBL,SMDDR,3
AIBL,SMDVR,3
AIBR,AVBR,5
AIBR,AVER,1
AIBR,RIBL,1
AIBR,RIGL,1
AIBR,RIML,10
AIBR,SAADR,2
AIBR,SMDDL,3
AIBR,SMDVL,1
AIML,AIAL,5
AIML,ASGL,3
AIML,ASHL,1
AIML,PVQL,1
AIMR,AIAR,4
AIMR,ASGR,2
AIMR,ASKR,1
AINL,AFDR,4
AINL,ASEL,1
AINL,AUAR,3
AINL,RIBR,1
AINR,AFDL,4
AINR,ASER,3
AINR,AUAL,1
AINR,BAGR,4
AINR,CEPshVL,2
AINR,RID,1
AIYL,ADFL,2
AIYL,AIZL,6
AIYL,AIZR,1
AIYL,ASEL,1
AIYL,AWBL,1
AIYL,RIAL,2
AIYL,RIBL,2
AIYR,AIZR,5
AIYR,AWBR,1
AIYR,BAGL,1
AIYR,RIAR,3
AIYR,RIBR,4
AIZL,AIAL,2
AIZL,AIBL,1
AIZL,AIBR,4
AIZL,AVER,1
AIZL,RIAL,2
AIZL,RIAR,1
AIZL,RIBL,1
AIZL,RIML,4
AIZL,SMBDL,4
AIZL,SMBVL,2
AIZL,SMBVR,1
AIZR,AIBL,6
AIZR,AVEL,2
AIZR,AVER,1
AIZR,RIAR,1
AIZR,RIMR,4
AIZR,SMBDR,2
AIZR,SMBVR,2
ALA,AVEL,2
ALA,AVER,1
ALA,CEPshVL,2
ALA,CEPshVR,1
ALML,BDUL,2
ALML,CEPVL,2
ALML,PVR,1
ALML,URBL,1
ALMR,BDUR,2
ALMR,CEPDR,1
ALMR,CEPVR,1
ALMR,PVR,1
ASEL,AFDR,1
ASEL,AIBL,6
ASEL,AIBR,1
ASEL,AIYL,6
ASEL,AIYR,2
ASEL,AWCL,2
ASEL,BAGL,1
ASER,ADLR,1
ASER,AIBL,4
ASER,AIBR,7
ASER,AIYL,3
ASER,AIYR,7
ASER,AWAR,1
ASER,AWCL,1
ASER,AWCR,1
ASER,BAGR,1
ASGL,AIAL,6
ASGL,AIBL,1
ASGL,AIML,1
ASGL,AWCL,1
ASGR,AIAR,3
ASGR,AIMR,2
