source,target,weight
ADAL,AIAL,1
ADAL,AIBL,1
ADAL,AVAL,3
ADAL,AVAR,1
ADAL,AVBL,9
ADAL,AVBR,2
ADAL,AVHR,1
ADAL,AVJR,3
ADAL,PVPL,1
ADAL,RICL,1
ADAL,RIML,4
ADAL,RIPL,1
ADAL,SDQR,1
ADAR,ASHR,1
ADAR,AVAL,3
ADAR,AVAR,2
ADAR,AVBL,4
ADAR,AVBR,10
ADAR,AVDL,2
ADAR,AVJL,5
ADAR,OLQVR,1
ADAR,RIMR,4
ADAR,RIPR,4
ADEL,ADAL,2
ADEL,ADER,1
ADEL,AINL,1
ADEL,AVAR,2
ADEL,AVDL,2
ADEL,AVDR,1
ADEL,CEPshDL,2
ADEL,CEPVL,1
ADEL,IL1L,1
ADEL,IL2L,2
ADEL,OLLL,3
ADEL,RIGL,1
ADEL,RIGR,4
ADEL,RIVL,1
ADEL,RMDR,1
ADEL,RMHR,1
ADEL,SAADR,1
ADEL,SDQL,1
ADER,ADAR,1
ADER,ADEL,3
ADER,ALMR,1
ADER,AVAL,1
ADER,AVAR,2
ADER,AVDR,1
ADER,BWM-DR04,1
ADER,BWM-VR04,1
ADER,CEPDR,1
ADER,GLRR,2
ADER,IL1R,1
ADER,IL2R,1
ADER,PVR,1
ADER,RIGL,3
ADER,RIGR,2
ADER,SDQR,1
ADER,SIBDL,1
ADFL,AIYL,1
ADFL,AIZL,6
ADFL,AUAL,3
ADFL,OLQVL,1
ADFL,RIAL,11
ADFL,RIGL,2
ADFL,SIBVL,1
ADFL,SMBDL,4
ADFL,SMBVL,5
ADFL,URXL,1
ADFR,AIZR,5
ADFR,AUAR,4
ADFR,RIAR,8
ADFR,RIGR,3
ADFR,SMBVR,1
ADLL,AIAL,6
ADLL,AIAR,1
ADLL,AIBL,5
ADLL,ASEL,2
ADLL,ASHL,2
ADLL,ASKL,2
ADLL,AVAL,2
ADLL,AVAR,1
ADLL,AVBL,1
ADLL,AVDL,1
ADLL,AVDR,5
ADLL,AVEL,1
ADLL,AVJL,1
ADLL,AVJR,2
ADLL,AWCL,3
ADLL,AWCR,3
ADLL,CEPshVL,1
ADLL,PVCL,2
ADLL,PVPL,1
ADLL,SMBVL,1
ADLR,ADAR,1
ADLR,AIAR,4
ADLR,AIBR,6
ADLR,ASER,1
ADLR,ASHR,1
ADLR,ASKR,3
ADLR,AVAR,1
ADLR,AVDL,1
ADLR,AVDR,2
ADLR,AVJR,2
ADLR,AWCR,2
AFDL,AIYL,6
AFDR,AIYR,9
AFDR,ASEL,1
AFDR,AWAR,1
AIAL,ADAL,2
AIAL,ADLL,1
AIAL,AIBL,9
AIAL,AINR,1
AIAL,AIZL,1
AIAL,ASGL,1
AIAL,ASKL,2
AIAL,AWCL,1
AIAL,AWCR,2
AIAL,RIFL,1
AIAR,ADAR,3
AIAR,AIBR,12
AIAR,AIZR,2
AIAR,ASGR,1
AIAR,ASKR,2
AIAR,AWCR,5
AIAR,RIFR,1
AIBL,AVBL,8
AIBL,RIBR,3
AIBL,RIML,1
AIBL,RIMR,17
AIBL,SAAVL,1
AIBL,SIADR,1
AIBL,SMDDR,5
AIBL,SMDVR,4
AIBR,AVBR,5
AIBR,BAGR,1
AIBR,DVA,1
AIBR,RIBL,5
AIBR,RIBR,1
AIBR,RIML,13
AIBR,RMFR,1
AIBR,SAADR,1
AIBR,SIADL,1
AIBR,SMDDL,4
AIBR,SMDVL,4
AIML,AIAL,4
AIML,ASGL,3
