source,target,weight
ADAL,ASHL,1
ADAL,AVAL,1
ADAL,AVBL,8
ADAL,AVBR,3
ADAL,AVEL,1
ADAL,AVJR,4
ADAL,IL2DL,1
ADAL,OLQVL,1
ADAL,RIAL,1
ADAL,RIML,5
ADAL,RIPL,4
ADAL,SIBVL,1
ADAR,AIAR,1
ADAR,AIBL,1
ADAR,AIBR,1
ADAR,ASHR,1
ADAR,AVAL,1
ADAR,AVBL,2
ADAR,AVBR,8
ADAR,AVER,1
ADAR,AVJL,3
ADAR,OLQVR,1
ADAR,RICL,1
ADAR,RICR,3
ADAR,RIMR,5
ADAR,URAVR,1
ADEL,ADER,1
ADEL,AVAR,2
ADEL,CEPshVL,2
ADEL,CEPVL,1
ADEL,PVCL,1
ADEL,RIGL,3
ADEL,RIGR,2
ADEL,SDQL,2
ADEL,SMBDR,1
ADEL,URBL,1
ADER,ADAR,1
ADER,ADEL,1
ADER,AVAL,1
ADER,AVAR,1
ADER,AVDR,1
ADER,AVER,1
ADER,AVKL,1
ADER,CEPshDR,1
ADER,CEPshVL,1
ADER,CEPshVR,1
ADER,CEPVR,1
ADER,FLPR,2
ADER,IL1R,1
ADER,PVR,1
ADER,RIGL,2
ADER,RIGR,1
ADER,SDQR,1
ADFL,AIBL,1
ADFL,AIZL,6
ADFL,AIZR,1
ADFL,ASER,1
ADFL,ASHL,1
ADFL,AUAL,3
ADFL,AUAR,1
ADFL,RIAL,8
ADFL,RIGL,1
ADFL,RIR,3
ADFL,SIBVL,1
ADFL,SMBDL,1
ADFR,AFDR,1
ADFR,AIYR,1
ADFR,AIZR,10
ADFR,AUAR,4
ADFR,AVHL,1
ADFR,DVA,1
ADFR,OLQVR,1
ADFR,RIAR,12
ADFR,RIGR,3
ADFR,RIR,1
ADFR,SMBDR,3
ADFR,SMBVR,7
ADLL,ADAL,2
ADLL,AIAL,3
ADLL,AIBL,5
ADLL,ASEL,1
ADLL,ASHL,3
ADLL,ASKL,4
ADLL,AVAL,2
ADLL,AVDL,1
ADLL,AVDR,8
ADLL,AVJL,2
ADLL,AVJR,3
ADLL,AWCL,3
ADLL,OLQVL,1
ADLL,PVQL,1
ADLL,SMBVL,1
ADLR,ADAR,1
ADLR,AIAR,5
ADLR,AIBR,8
ADLR,ASER,4
ADLR,ASHR,3
ADLR,ASKR,2
ADLR,AVDL,4
ADLR,AVDR,1
ADLR,AVJL,2
ADLR,AVJR,1
ADLR,AWCR,4
ADLR,OLQVR,1
ADLR,URBR,1
AFDL,AIYL,8
AFDL,AIZL,1
AFDL,ASER,1
AFDL,BAGR,1
AFDR,ADFR,1
AFDR,AIYR,8
AFDR,AUAR,1
AIAL,ADFL,1
AIAL,AIBL,11
AIAL,AIYL,1
AIAL,AIZL,3
AIAL,ASGL,1
AIAL,ASHL,2
AIAL,ASKL,1
AIAL,AWCL,3
AIAL,AWCR,3
AIAL,RIFL,2
AIAR,ADAR,1
AIAR,AIBR,10
AIAR,ASER,1
AIAR,ASIR,1
AIAR,ASKR,1
AIAR,AWCL,1
AIAR,AWCR,6
AIAR,RIFR,1
AIBL,AVBL,6
AIBL,AVER,1
AIBL,RIBR,6
AIBL,RIML,1
AIBL,RIMR,13
AIBL,SMDDR,3
AIBL,SMDVR,2
AIBR,AIZL,1
AIBR,AVAR,1
AIBR,AVBR,4
AIBR,AVEL,1
AIBR,RIBL,4
AIBR,RIBR,1
AIBR,RIML,12
AIBR,RIMR,1
AIBR,SAADL,1
AIBR,SAADR,1
AIBR,SMBDL,1
AIBR,SMDDL,5
AIBR,SMDVL,3
AIML,AIAL,4
AIML,ALML,1
AIML,ASGL,4
AIML,ASIL,1
AIML,ASKL,2
AIML,AVDL,1
AIML,AVEL,1
AIML,AVFL,1
AIML,AVFR,3
AIML,CEPshDL,1
AIML,CEPshDR,1
AIML,CEPshVL,2
AIMR,AIAR,6
AIMR,AIBR,1
AIMR,ALMR,2
AIMR,ASGR,3
AIMR,ASKR,3
AIMR,AVDR,1
AIMR,AVFL,1
AIMR,AVFR,1
AIMR,CEPshDR,4
AIMR,SIBDL,2
AIMR,SMDDL,1
AIMR,URXR,1
AINL,AFDR,3
AINL,AUAL,1
AINL,AUAR,4
AINL,BAGL,2
AINL,BAGR,1
AINL,CEPshDR,2
AINL,CEPshVR,1
AINL,CEPVR,1
AINL,IL2R,1
AINL,RIBR,3
AINL,RID,1
AINL,RIMR,1
AINR,AFDL,6
AINR,AFDR,1
AINR,AUAL,3
AINR,BAGR,2
AINR,CEPshDR,1
AINR,CEPshVL,2
AINR,CEPshVR,1
AINR,RIBL,2
AIYL,AIZL,12
AIYL,AWAL,2
AIYL,BAGR,1
AIYL,RIAL,5
AIYL,RIBL,3
AIYR,AFDR,1
AIYR,AIZL,1
AIYR,AIZR,10
AIYR,AWBR,1
AIYR,BAGL,1
AIYR,BAGR,1
AIYR,RIAL,2
AIYR,RIAR,3
AIYR,RIBR,5
AIZL,ADFL,1
AIZL,AIAL,4
AIZL,AIBL,1
AIZL,AIBR,15
AIZL,AIZR,1
AIZL,ASEL,1
AIZL,AUAL,1
AIZL,AVEL,1
AIZL,AVER,4
AIZL,AWCR,1
AIZL,RIAL,7
AIZL,RIAR,1
AIZL,RIML,13
AIZL,SMBDL,5
AIZL,SMBDR,2
AIZL,SMBVL,8
AIZR,AIAR,2
AIZR,AIBL,11
AIZR,AIBR,2
AIZR,AIYR,1
AIZR,ASER,2
AIZR,AVAL,1
AIZR,AVEL,3
AIZR,RIAL,1
AIZR,RIAR,6
AIZR,RIBR,1
AIZR,RIMR,7
AIZR,SMBDR,7
AIZR,SMBVL,1
AIZR,SMBVR,9
ALA,ASJR,1
ALA,AVEL,2
ALA,AVER,2
ALA,CEPshDL,1
ALA,CEPshVR,3
ALML,AIML,1
ALML,AVBL,1
ALML,AVEL,1
ALML,BDUL,3
ALML,CEPDL,3
ALML,CEPVL,2
ALML,IL2L,1
ALML,PVR,1
ALML,RID,1
ALML,RMGL,1
ALML,SDQL,1
ALMR,ADAR,1
ALMR,AVFL,1
ALMR,BDUR,6
ALMR,CEPDR,2
ALMR,CEPVR,3
ALMR,PVCR,2
ALMR,RIFR,1
ALMR,SDQR,1
ALNL,RIAL,1
ALNL,SAAVL,1
ALNL,SMBDR,1
ALNR,SAAVR,2
ALNR,SMBDL,1
ALNR,SMDVL,1
AQR,AVAL,5
AQR,AVAR,7
AQR,AVBL,9
AQR,AVBR,4
AQR,AVDL,1
AQR,BAGL,1
AQR,BAGR,2
AQR,PVCL,4
AQR,PVCR,2
AQR,PVPL,1
AQR,RIAL,1
AQR,RIAR,1
AQR,RIBR,1
AQR,RIGL,1
AQR,RIGR,1
AQR,RIR,1
ASEL,AFDR,3
ASEL,AIAL,2
ASEL,AIBL,8
ASEL,AIBR,2
ASEL,AINL,1
ASEL,AIYL,11
ASEL,AIYR,6
ASEL,AIZL,1
ASEL,AWCL,3
ASEL,AWCR,1
ASEL,BAGL,1
ASER,AFDL,2
ASER,AFDR,1
ASER,AIAL,1
ASER,AIAR,1
ASER,AIBL,6
ASER,AIBR,10
ASER,AIYL,8
ASER,AIYR,13
ASER,AIZL,1
ASER,AIZR,2
ASER,ASEL,1
ASER,AWCL,1
ASER,AWCR,8
ASGL,AIAL,8
ASGL,AIBL,1
ASGL,AIML,1
ASGR,AIAR,9
ASGR,AIBR,1
ASGR,AIMR,1
ASGR,ASER,1
ASHL,ADAL,3
ASHL,ADFL,2
ASHL,ADLL,1
ASHL,AIAL,7
ASHL,AIBL,4
ASHL,ASKL,1
ASHL,AVAL,4
ASHL,AVBL,6
ASHL,AVDL,1
ASHL,AVDR,6
ASHL,AVEL,1
ASHL,AVHR,1
ASHL,AWAL,1
ASHL,AWBL,1
ASHL,RIAL,3
ASHL,RIFL,1
ASHL,RIML,3
ASHL,URXL,1
ASHR,ADAR,2
ASHR,ADFR,4
ASHR,ADLR,1
ASHR,AIAR,9
ASHR,AIBR,7
ASHR,AVAR,1
ASHR,AVBR,7
ASHR,AVDL,5
ASHR,AVDR,1
ASHR,AVER,1
ASHR,AVHL,1
ASHR,AVJL,1
ASHR,AWAR,1
ASHR,AWBR,1
ASHR,RIAR,2
ASHR,SMBDR,1
ASIL,AIAL,3
ASIL,AIBL,2
ASIL,ASER,1
ASIL,ASGL,1
ASIL,AWCL,3
ASIL,AWCR,3
ASIL,CEPshDL,1
ASIL,CEPshVL,1
ASIL,CEPshVR,1
ASIR,AFDR,2
ASIR,AIAR,1
ASIR,AIYR,2
ASIR,AWCL,1
ASIR,AWCR,4
ASIR,CEPshDR,3
ASIR,CEPshVR,2
ASJL,AIAL,1
ASJL,ASKL,5
ASJL,AVFR,1
ASJL,CEPshVL,3
ASJL,PVQL,10
ASJR,ASKL,1
ASJR,ASKR,3
ASJR,CEPshVR,2
ASJR,PVQR,6
ASKL,AIAL,11
ASKL,AIAR,1
ASKL,AIML,2
ASKL,ASHL,1
ASKR,AIAR,10
ASKR,AIMR,2
ASKR,ASKL,1
AUAL,AVAL,3
AUAL,AVDR,1
AUAL,AVEL,2
AUAL,DVA,1
AUAL,RIAL,6
AUAL,RIBL,7
AUAL,URXL,1
AUAR,AVAR,3
AUAR,AVER,2
AUAR,RIAR,7
AUAR,RIBR,6
AUAR,URXR,2
AVFL,ASHR,1
AVFL,AVBR,1
AVFL,AVFR,2
AVFL,PVQR,1
AVFR,ALML,1
AVFR,ALMR,1
AVFR,AVBL,1
AVFR,AVFL,1
AVFR,BDUL,1
AVFR,CEPshVL,1
AVFR,CEPshVR,1
AVFR,PVQL,4
AVFR,PVQR,3
AVFR,RIFL,1
AVFR,RMGL,1
AVHL,ADFR,4
AVHL,AIZR,1
AVHL,ASER,1
AVHL,AVBR,1
AVHL,AVJL,1
AVHL,AWBR,5
AVHL,DVA,1
AVHL,PVPL,1
AVHL,RIFL,1
AVHL,RIR,2
AVHL,SMBVR,2
AVHL,URXR,1
AVHR,ADAL,1
AVHR,ADFL,3
AVHR,ADLL,1
AVHR,AIMR,1
AVHR,AIZL,2
AVHR,ASEL,1
AVHR,AVBR,2
AVHR,AVFR,1
AVHR,AVJR,1
AVHR,AWBL,5
AVHR,AWBR,1
AVHR,BDUL,1
AVHR,DVA,1
AVHR,PVPL,1
AVHR,PVPR,1
AVHR,RIML,1
AVHR,RIR,1
AVHR,SIAVL,1
AVHR,SMBDL,1
AVHR,SMBVL,1
AVHR,URXL,1
AVJL,AVBL,1
AVJL,AVBR,2
AVJL,PVCL,1
AVJL,PVCR,1
AVJL,RIFR,1
AVJR,ASHL,1
AVJR,AVBL,2
AVJR,AVBR,2
AVJR,PVCL,2
AVJR,RIFL,1
AVJR,RIS,2
AVKL,AIBR,1
AVKL,AVEL,1
AVKL,AVER,2
