,pre,post,cel_jsh_chemical.csv' with 108 nodes and 817 edges_weight,cel_n2u_chemical.csv' with 89 nodes and 986 edges_weight,witvliet_2020_1_L1_chem.csv' with 76 nodes and 349 edges_weight,witvliet_2020_2_L1_chem.csv' with 77 nodes and 410 edges_weight,witvliet_2020_3_L1_chem.csv' with 77 nodes and 419 edges_weight,witvliet_2020_4_L1_chem.csv' with 81 nodes and 469 edges_weight,witvliet_2020_5_L2_chem.csv' with 84 nodes and 620 edges_weight,witvliet_2020_6_L3_chem.csv' with 85 nodes and 611 edges_weight,witvliet_2020_7_ad_chem.csv' with 88 nodes and 859 edges_weight,witvliet_2020_8_ad_chem.csv' with 88 nodes and 838 edges_weight,conserved,average_size
1524,ALN,RMH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1.0
1525,ALN,SIA,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0
1526,ALN,BWM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
1527,URY,URY,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0
1528,URY,pBWM,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1529,URY,pBWM3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
1530,URY,pBWM4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
1531,AVL,PVT,2.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,7.0,8.0,7,3.5714285714285716
1532,AVL,RIS,0.0,10.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,1.0,7,3.4285714285714284
1533,AVL,RME,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,6,1.5
1534,AVL,BAG,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0
