,Unnamed: 0_x,pre,post,jsa_adj,n2w_adj,conserved_x,average_size_x,Unnamed: 0_y,synaptic_weight,conserved_y,average_size_y,dummy_size,jsa_adj-s,n2w_adj-s,ave_scaled_adjacency,pre_brittin,post_brittin,pre_moyle,post_moyle,brittin_strata,moyle_strata,brittin_bool_1,brittin_bool_2
27,27,I1R,NSMR,326.0,2218.0,2,1272.0,75.0,1.5,1.0,1.5,1,-0.6641302140499318,-0.15894204906136564,-0.4115361315556487,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
28,28,I1R,I4,0.0,308.0,1,308.0,0.0,0.0,0.0,0.0,0,-0.7104755005128908,-0.603550579603877,-0.6570130400583839,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
29,29,I1R,M1,0.0,2126.0,1,2126.0,65.0,4.0,1.0,4.0,1,-0.7104755005128908,-0.1803577479147222,-0.44541662421380646,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
30,30,I1R,M2L,0.0,84.0,1,84.0,66.0,0.5,1.0,0.5,1,-0.7104755005128908,-0.6556931507250929,-0.6830843256189918,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
31,31,I1R,M3L,0.0,157.0,1,157.0,68.0,0.5,1.0,0.5,1,-0.7104755005128908,-0.6387002592436253,-0.6745878798782581,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
32,32,I1R,M4,0.0,557.0,1,557.0,70.0,1.0,1.0,1.0,1,-0.7104755005128908,-0.5455885250985967,-0.6280320128057437,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
33,33,I2L,I2R,13576.0,3074.0,2,8325.0,10.0,7.0,1.0,7.0,1,1.219535570104075,0.04031706200899546,0.6299263160565353,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
34,34,I2L,I4,15343.0,13327.0,2,14335.0,11.0,15.5,1.0,15.5,1,1.4707383958097453,2.42700358748144,1.9488709916455926,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
35,35,I2L,I5,11802.0,0.0,1,11802.0,12.0,5.5,1.0,5.5,1,0.96733760021055,-0.6752466148955489,0.14604549265750055,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
36,36,I2L,I6,549.0,3040.0,2,1794.5,13.0,3.0,1.0,3.0,1,-0.6324277634939813,0.03240256460666803,-0.30001259944365666,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
37,37,I2L,M1,2483.0,1072.0,2,1777.5,14.0,4.5,1.0,4.5,1,-0.3574836407352002,-0.4257071673868725,-0.3915954040610363,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
38,38,I2L,M2L,1280.0,1382.0,2,1331.0,0.0,0.0,0.0,0.0,0,-0.5285062775908432,-0.35354557342447535,-0.4410259255076593,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
39,39,I2L,M3L,48.0,269.0,2,158.5,0.0,0.0,0.0,0.0,0,-0.7036516546533139,-0.6126289736830173,-0.6581403141681657,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
40,40,I2L,M3R,1262.0,4097.0,2,2679.5,15.0,2.0,1.0,2.0,1,-0.5310652197881846,0.278450322084906,-0.12630744885163928,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
41,41,I2L,M4,9629.0,9090.0,2,9359.5,16.0,2.5,1.0,2.5,1,0.6584164116092929,1.4407175435502249,1.049566977579759,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
42,42,I2L,MCR,7207.0,3879.0,2,5543.0,0.0,0.0,0.0,0.0,0,0.3140965226114812,0.22770442697586543,0.2709004747936733,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
43,43,I2L,NSML,15394.0,23444.0,2,19419.0,17.0,16.5,1.0,16.5,1,1.4779887320355456,4.782032123344575,3.13001042769006,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
44,44,I2L,NSMR,24636.0,25289.0,2,24962.5,18.0,26.0,1.0,26.0,1,2.791863386914892,5.211509997088519,4.001686692001705,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
45,45,I2L,I3,0.0,2037.0,1,2037.0,0.0,0.0,0.0,0.0,0,-0.7104755005128908,-0.20107510876199106,-0.4557753046374409,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
46,46,I2L,MCL,0.0,5613.0,1,5613.0,0.0,0.0,0.0,0.0,0,-0.7104755005128908,0.6313437944945642,-0.039565853009163265,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
47,47,I2R,I4,22903.0,11190.0,2,17046.5,76.0,22.5,1.0,22.5,1,2.5454941186930884,1.929554147811625,2.2375241332523568,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
48,48,I2R,I5,11595.0,0.0,1,11595.0,77.0,7.0,1.0,7.0,1,0.9379097649411251,-0.6752466148955489,0.13133157502278808,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
49,49,I2R,I6,2693.0,0.0,1,2693.0,0.0,0.0,0.0,0.0,0,-0.3276293150995518,-0.6752466148955489,-0.5014379649975503,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
50,50,I2R,M1,4245.0,232.0,2,2238.5,78.0,5.0,1.0,5.0,1,-0.10699163230656926,-0.6212418090914325,-0.36411672069900086,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
51,51,I2R,M2L,1933.0,848.0,2,1390.5,0.0,0.0,0.0,0.0,0,-0.4356735412095175,-0.47784973850808843,-0.45676163985880297,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
52,52,I2R,M2R,1215.0,1112.0,2,1163.5,79.0,1.5,1.0,1.5,1,-0.5377469021923534,-0.4163959939723696,-0.4770714480823615,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
53,53,I2R,M3L,133.0,4875.0,2,2504.0,0.0,0.0,0.0,0.0,0,-0.6915677609436467,0.4595526449969865,-0.1160075579733301,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
54,54,I2R,M3R,1272.0,79.0,2,675.5,0.0,0.0,0.0,0.0,0,-0.529643585234106,-0.6568570474019059,-0.593250316318006,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
