Metric,Multi-layer Perceptron,Random Forest,XGBoost,Decision Tree,Logistic Regression
ROC_AUC,0.9335945311316467,0.9177246818663839,0.9151427340554461,0.9141233335858203,0.9334957771549763
PR_AUC,0.7763909761540259,0.7186112946130271,0.6568353059783198,0.695931489015637,0.7729937084820161
F1,0.7094225978965156,0.6963737382773469,0.5705625384672145,0.7059079510296555,0.7181365435408485
