,pre,post,cel_jsh_chemical.csv' with 87 nodes and 918 edges_weight,cel_n2u_chemical.csv' with 86 nodes and 1322 edges_weight,n930_head1.csv' with 89 nodes and 901 edges_weight,witvliet_2020_1_L1_chem.csv' with 76 nodes and 389 edges_weight,witvliet_2020_2_L1_chem.csv' with 77 nodes and 466 edges_weight,witvliet_2020_3_L1_chem.csv' with 77 nodes and 487 edges_weight,witvliet_2020_4_L1_chem.csv' with 81 nodes and 529 edges_weight,witvliet_2020_5_L2_chem.csv' with 84 nodes and 726 edges_weight,witvliet_2020_6_L3_chem.csv' with 85 nodes and 706 edges_weight,witvliet_2020_7_ad_chem.csv' with 88 nodes and 1056 edges_weight,witvliet_2020_8_ad_chem.csv' with 88 nodes and 1037 edges_weight,conserved,average_size
1536,AIM,ASK,9.0,11.0,12.0,1.0,1.0,1.0,2.0,5.0,4.0,6.0,8.0,11,5.454545454545454
1537,AIM,AVB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,4,2.0
1538,AIM,AVF,2.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,10.0,8.0,6,8.0
1539,AIM,AVH,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,3.0
1540,AIM,AWB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3,1.6666666666666667
1541,AIM,CEPsh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,6.0,12.0,5,6.2
1542,AIM,RMG,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,3.3333333333333335
1543,AIM,SIBD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,4,1.25
1544,AIM,SMB,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4,2.25
1545,AIM,URX,3.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6,2.1666666666666665
1546,AIM,AIB,7.0,0.0,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,23.0
1547,AIM,ALM,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,5,1.8
1548,AIM,ASI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0
1549,AIM,AVD,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,6,2.5
1550,AIM,AVE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2.0
1551,AIM,SMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0
1552,AIM,AIM,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4,1.25
1553,AIM,ASH,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,4,2.25
1554,AIM,PVQ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0
1555,AIM,AWC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1556,AIM,ADF,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.5
1557,AIM,ALA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1558,AIM,AVA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
1559,AIM,AVJ,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3,1.6666666666666667
1560,AIM,BDU,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1561,AIM,CEPD,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
1562,AIM,CEPV,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
1563,AIM,HSN,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2,4.5
1564,AIM,OLQ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1565,AIM,PVN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1.5
1566,AIM,RID,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,2.6666666666666665
1567,AIM,RIF,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3,3.6666666666666665
1568,AIM,RMD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1569,AIM,ADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2,1.5
1570,AIM,AIY,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2.0
1571,AIM,AIZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2,2.0
1572,AIM,RIC,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2.0
1573,AIM,SDQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1574,AIM,SIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
1575,AIM,SIBV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1576,AIM,unk,3.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,16.5
1577,ASJ,ASK,22.0,30.0,13.0,1.0,4.0,6.0,6.0,9.0,5.0,11.0,8.0,11,10.454545454545455
1578,ASJ,CEPsh,0.0,0.0,0.0,1.0,3.0,2.0,0.0,5.0,2.0,1.0,1.0,7,2.142857142857143
1579,ASJ,PVQ,54.0,63.0,43.0,5.0,10.0,10.0,15.0,16.0,16.0,24.0,27.0,11,25.727272727272727
1580,ASJ,AIA,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6,1.1666666666666667
