,pre,post,witvliet_dataset2_vol.csv' with 80 nodes and 1702 edges_weight,witvliet_dataset4_vol.csv' with 87 nodes and 2025 edges_weight,witvliet_dataset3_vol.csv' with 83 nodes and 1737 edges_weight,witvliet_dataset1_vol.csv' with 82 nodes and 1765 edges_weight,witvliet_dataset6_vol.csv' with 85 nodes and 1992 edges_weight,cel_n2u_adjacency.csv' with 89 nodes and 2150 edges_weight,cel_jsh_nr_adj.csv' with 89 nodes and 2150 edges_weight,witvliet_dataset5_vol.csv' with 88 nodes and 2163 edges_weight,witvliet_dataset8_vol.csv' with 88 nodes and 2266 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
36,ADA,RIF,740864.0,225960.0,540480.0,350040.0,333526.0,8299.0,8299.0,512880.0,791280.0,9,390180.8888888889,9,0.0,no,yes,no
37,ADA,RIG,14336.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11248.0,2,0.0,no,no,no
38,ADA,RIH,187648.0,0.0,65040.0,124920.0,8448.0,0.0,0.0,0.0,82560.0,5,93723.2,5,0.0,no,no,no
39,ADA,RIM,1731072.0,1739640.0,1421280.0,708600.0,6709063.0,76387.0,76387.0,5924160.0,12327360.0,9,3412661.0,9,0.0,no,yes,no
40,ADA,RIV,219136.0,355440.0,617160.0,687360.0,310547.0,3283.0,3283.0,585240.0,1498320.0,9,475529.8888888889,9,0.0,no,yes,no
41,ADA,RMDV,7936.0,0.0,135480.0,95520.0,0.0,158.0,158.0,0.0,45600.0,6,47475.333333333336,6,0.0,no,no,no
42,ADA,RMG,407808.0,522360.0,206280.0,377760.0,1797396.0,11453.0,11453.0,692520.0,2161440.0,9,687607.7777777778,9,0.0,no,yes,no
43,ADA,SAA,1115648.0,812520.0,1099440.0,1514640.0,1146560.0,6588.0,6588.0,908040.0,2396880.0,9,1000767.1111111111,9,0.0,no,yes,no
44,ADA,SAB,88576.0,0.0,0.0,0.0,0.0,0.0,0.0,62160.0,0.0,2,75368.0,2,0.0,no,no,no
45,ADA,SIA,754688.0,552480.0,210960.0,178680.0,390634.0,7309.0,7309.0,1281960.0,976560.0,9,484508.8888888889,9,0.0,no,yes,no
46,ADA,SIBD,937472.0,507720.0,509640.0,482280.0,889404.0,11378.0,11378.0,1284360.0,470880.0,9,567168.0,9,0.0,no,yes,no
47,ADA,SIBV,1172480.0,557640.0,711960.0,538440.0,641709.0,14590.0,14590.0,1290600.0,2123520.0,9,785058.7777777778,9,0.0,no,yes,no
48,ADA,SMB,955392.0,579240.0,741120.0,428880.0,1240163.0,8072.0,8072.0,1730760.0,2317920.0,9,889957.6666666666,9,0.0,no,yes,no
49,ADA,SMD,952064.0,410520.0,714360.0,435840.0,588316.0,17633.0,17633.0,387120.0,1881120.0,9,600511.7777777778,9,0.0,no,yes,no
50,ADA,URA,189184.0,131160.0,135840.0,30360.0,250059.0,1388.0,1388.0,141840.0,496800.0,9,153113.22222222222,9,0.0,no,yes,no
51,ADA,URB,637696.0,698400.0,429120.0,219840.0,1026938.0,6441.0,6441.0,1006920.0,3806880.0,9,870964.0,9,0.0,no,yes,no
52,ADA,URX,678656.0,746640.0,642480.0,319680.0,3898244.0,37960.0,37960.0,1664040.0,8024160.0,9,1783313.3333333333,9,0.0,no,yes,no
53,ADA,URY,412928.0,303960.0,237360.0,396600.0,632247.0,3755.0,3755.0,501480.0,794640.0,9,365191.6666666667,9,0.0,no,yes,no
54,ADA,AQR,0.0,205080.0,0.0,0.0,978277.0,10994.0,10994.0,201480.0,1593120.0,6,499990.8333333333,6,0.0,no,no,no
55,ADA,ASJ,0.0,17400.0,4560.0,3960.0,0.0,0.0,0.0,0.0,0.0,3,8640.0,3,0.0,no,no,no
56,ADA,AVF,0.0,156360.0,0.0,0.0,267631.0,6399.0,6399.0,892320.0,1439760.0,6,461478.1666666667,6,0.0,no,no,no
57,ADA,AVK,0.0,10440.0,0.0,11640.0,0.0,2876.0,2876.0,0.0,45600.0,5,14686.4,5,0.0,no,no,no
58,ADA,RIP,0.0,237240.0,46200.0,0.0,807966.0,10241.0,10241.0,680760.0,2129040.0,7,560241.1428571428,7,0.0,no,no,no
59,ADA,RIR,0.0,600.0,38400.0,30240.0,41902.0,35.0,35.0,0.0,0.0,6,18535.333333333332,6,0.0,no,no,no
60,ADA,RMDD,0.0,6000.0,27240.0,6960.0,0.0,0.0,0.0,46440.0,102960.0,5,37920.0,5,0.0,no,no,no
61,ADA,RMH,0.0,153840.0,0.0,0.0,63191.0,19.0,19.0,387720.0,129600.0,6,122398.16666666667,6,0.0,no,no,no
62,ADA,SDQ,0.0,150720.0,0.0,0.0,1295584.0,1067.0,1067.0,362640.0,1711920.0,6,587166.3333333334,6,0.0,no,no,no
63,ADA,VA,0.0,74160.0,0.0,0.0,0.0,0.0,0.0,64920.0,0.0,2,69540.0,2,0.0,no,no,no
64,ADA,VB,0.0,9360.0,0.0,0.0,0.0,0.0,0.0,20640.0,0.0,2,15000.0,2,0.0,no,no,no
65,ADA,ASE,0.0,0.0,1200.0,13560.0,0.0,1884.0,1884.0,13920.0,3840.0,6,6048.0,6,0.0,no,no,no
66,ADA,Fragment2,0.0,0.0,32880.0,32160.0,0.0,0.0,0.0,0.0,0.0,2,32520.0,2,0.0,no,no,no
67,ADA,Fragment3,0.0,0.0,19440.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19440.0,1,0.0,no,no,no
68,ADA,AUA,0.0,0.0,0.0,13200.0,13516.0,0.0,0.0,0.0,0.0,2,13358.0,2,0.0,no,no,no
69,ADA,BWM,0.0,0.0,0.0,1440.0,5744.0,0.0,0.0,4680.0,0.0,3,3954.6666666666665,3,0.0,no,no,no
70,ADA,Fragment1,0.0,0.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,1,6360.0,1,0.0,no,no,no
71,ADA,RMD,0.0,0.0,0.0,3000.0,4055.0,0.0,0.0,0.0,0.0,2,3527.5,2,0.0,no,no,no
72,ADA,ALN,0.0,0.0,0.0,0.0,6082.0,314.0,314.0,58440.0,6000.0,5,14230.0,5,0.0,no,no,no
73,ADA,AVM,0.0,0.0,0.0,0.0,30412.0,228.0,228.0,441720.0,0.0,4,118147.0,4,0.0,no,no,no
74,ADA,RMF,0.0,0.0,0.0,0.0,157469.0,2413.0,2413.0,68760.0,584160.0,5,163043.0,5,0.0,no,no,no
75,ADA,AIY,0.0,0.0,0.0,0.0,0.0,398.0,398.0,0.0,0.0,2,398.0,2,0.0,no,no,no
76,ADA,ASG,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0,0.0,2,77.0,2,0.0,no,no,no
77,ADA,ASI,0.0,0.0,0.0,0.0,0.0,228.0,228.0,0.0,0.0,2,228.0,2,0.0,no,no,no
78,ADA,HSN,0.0,0.0,0.0,0.0,0.0,1874.0,1874.0,0.0,796080.0,3,266609.3333333333,3,0.0,no,no,no
79,ADA,PLN,0.0,0.0,0.0,0.0,0.0,248.0,248.0,0.0,1920.0,3,805.3333333333334,3,0.0,no,no,no
80,ADA,PVN,0.0,0.0,0.0,0.0,0.0,6072.0,6072.0,0.0,0.0,2,6072.0,2,0.0,no,no,no
81,ADA,RIS,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,2,80.0,2,0.0,no,no,no
82,ADA,VB01,0.0,0.0,0.0,0.0,0.0,5273.0,5273.0,0.0,0.0,2,5273.0,2,0.0,no,no,no
83,ADA,PVT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7920.0,1,7920.0,1,0.0,no,no,no
84,ADA,RME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387840.0,1,387840.0,1,0.0,no,no,no
85,ADA,unknownFLPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17280.0,1,17280.0,1,0.0,no,no,no
86,ADE,ADE,1245440.0,0.0,1239720.0,664920.0,4401408.0,73991.0,73991.0,3081960.0,6899040.0,8,2210058.75,8,0.0,no,no,no
87,ADE,AIB,10752.0,144960.0,0.0,6000.0,0.0,0.0,0.0,0.0,18480.0,4,45048.0,4,0.0,no,no,no
88,ADE,AVA,1499904.0,1592280.0,1144440.0,643080.0,3121027.0,90298.0,90298.0,3072000.0,5905920.0,9,1906583.0,9,0.0,no,yes,no
89,ADE,AVK,657152.0,1383960.0,521520.0,309000.0,453826.0,9968.0,9968.0,632760.0,794160.0,9,530257.1111111111,9,0.0,no,yes,no
90,ADE,AVL,2560.0,0.0,89040.0,9360.0,0.0,3384.0,3384.0,2400.0,38640.0,7,21252.571428571428,7,0.0,no,no,no
91,ADE,BDU,104704.0,86400.0,51360.0,0.0,319334.0,17573.0,17573.0,214320.0,982320.0,8,224198.0,8,0.0,no,no,no
92,ADE,DVC,455168.0,589320.0,187800.0,382800.0,0.0,426.0,426.0,96600.0,15120.0,8,215957.5,8,0.0,no,no,no
93,ADE,FLP,1423872.0,665640.0,1000080.0,673440.0,1246923.0,41416.0,41416.0,1371720.0,3415200.0,9,1097745.2222222222,9,0.0,no,yes,no
94,ADE,PVC,192256.0,0.0,146280.0,169080.0,673473.0,0.0,0.0,816960.0,304800.0,6,383808.1666666667,6,0.0,no,no,no
95,ADE,PVQ,90368.0,101400.0,0.0,0.0,675.0,0.0,0.0,125760.0,0.0,4,79550.75,4,0.0,no,no,no
96,ADE,PVT,315904.0,115200.0,22680.0,156240.0,444026.0,0.0,0.0,120.0,628080.0,7,240321.42857142858,7,0.0,no,no,no
97,ADE,RIG,962560.0,1642800.0,483120.0,482640.0,3319387.0,61398.0,61398.0,2427840.0,7312320.0,9,1861495.888888889,9,0.0,no,yes,no
98,ADE,RIH,615936.0,73680.0,418560.0,380040.0,3560324.0,48848.0,48848.0,454680.0,8572320.0,9,1574804.0,9,0.0,no,yes,no
99,ADE,RIS,170496.0,204960.0,840.0,175920.0,0.0,0.0,0.0,427440.0,55440.0,6,172516.0,6,0.0,no,no,no
100,ADE,SAA,1935616.0,1793520.0,1337760.0,1122720.0,2159644.0,18065.0,18065.0,1638720.0,7221360.0,9,1916163.3333333333,9,0.0,no,yes,no
101,ADE,SAB,68864.0,0.0,162600.0,45600.0,0.0,0.0,0.0,0.0,0.0,3,92354.66666666667,3,0.0,no,no,no
102,ADE,SIA,3328.0,3720.0,0.0,0.0,21964.0,819.0,819.0,29640.0,1025520.0,7,155115.7142857143,7,0.0,no,no,no
103,ADE,SMB,106752.0,215160.0,75960.0,22440.0,943133.0,6686.0,6686.0,717120.0,2462880.0,9,506313.0,9,0.0,no,yes,no
104,ADE,SMD,503296.0,1140240.0,603840.0,210840.0,2061648.0,22181.0,22181.0,2331480.0,6123600.0,9,1446589.5555555555,9,0.0,no,yes,no
105,ADE,excduct,155136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,155136.0,1,0.0,no,no,no
106,ADE,excgl,991744.0,575160.0,627600.0,218400.0,0.0,0.0,0.0,2816520.0,0.0,5,1045884.8,5,0.0,no,no,no
107,ADE,ADL,0.0,600.0,0.0,0.0,0.0,394.0,394.0,135600.0,0.0,4,34247.0,4,0.0,no,no,no
108,ADE,AIN,0.0,153480.0,0.0,0.0,411923.0,15130.0,15130.0,177360.0,2519760.0,6,548797.1666666666,6,0.0,no,no,no
109,ADE,AIZ,0.0,5160.0,0.0,0.0,0.0,0.0,0.0,0.0,135360.0,2,70260.0,2,0.0,no,no,no
110,ADE,ALA,0.0,26760.0,0.0,0.0,50012.0,5722.0,5722.0,7560.0,13440.0,6,18202.666666666668,6,0.0,no,no,no
111,ADE,ALM,0.0,116400.0,0.0,0.0,795463.0,10933.0,10933.0,237120.0,2333760.0,6,584101.5,6,0.0,no,no,no
