source,target,weight
ADAL,AIBR,1
ADAL,AVAR,2
ADAL,AVBL,1
ADAL,AVBR,2
ADAL,AVDR,1
ADAL,AVJR,1
ADAL,PVPL,1
ADAL,RICR,1
ADAL,RID,1
ADAL,RIML,2
ADAL,SMDDL,1
ADAR,ASHR,2
ADAR,AVAL,1
ADAR,AVAR,1
ADAR,AVBL,2
ADAR,AVBR,3
ADAR,AVDL,1
ADAR,AVJL,1
ADAR,RICL,1
ADAR,RIMR,2
ADEL,ADAL,2
ADEL,ADER,1
ADEL,AVAL,1
ADEL,AVAR,2
ADER,ADAR,1
ADER,AVAL,1
ADER,FLPL,1
ADFL,AIYL,1
ADFL,AIZL,5
ADFL,AUAL,1
ADFL,AVHR,2
ADFL,RIAL,4
ADFL,RIR,2
ADFL,SIBDL,1
ADFL,SIBVL,1
ADFL,SMBDL,1
ADFL,SMBVL,1
ADFR,AIZR,4
ADFR,AUAR,2
ADFR,AVHL,1
ADFR,DVA,1
ADFR,RIAR,3
ADFR,RIR,1
ADLL,AIAL,1
ADLL,AIBL,1
ADLL,ASKL,1
ADLL,AVDL,1
ADLL,AVJL,1
ADLL,OLLL,1
ADLR,AIAR,3
ADLR,AIBR,1
ADLR,ASKR,4
ADLR,AVDL,1
ADLR,AVJR,1
ADLR,AWCR,1
ADLR,OLLR,1
ADLR,SMBVR,1
AFDL,AIYL,3
AFDR,AIYR,2
AIAL,ADAL,1
AIAL,AIBL,6
AIAL,ASKL,4
AIAL,AWCL,1
AIAL,PVQL,1
AIAL,RIFL,2
AIAR,ADFR,1
AIAR,AIBR,4
AIAR,ASHR,1
AIAR,ASKR,1
AIAR,RIFR,2
AIBL,AVBL,2
AIBL,AVER,1
AIBL,BAGL,1
AIBL,RIBR,3
AIBL,RIMR,7
AIBL,SMDDR,2
AIBL,SMDVR,2
AIBR,AVBR,4
AIBR,AVEL,1
AIBR,PVPL,1
AIBR,RIBL,3
AIBR,RIBR,1
AIBR,RIML,10
AIBR,SMDDL,4
AIBR,SMDVL,2
AIML,AIAL,4
AIML,ASGL,4
AIML,ASJL,2
AIMR,AIAR,5
AIMR,ASGR,5
AIMR,ASJL,1
AIMR,ASJR,2
AIMR,ASKR,1
AINL,ADFR,1
AINL,AFDR,1
AINL,AIAR,1
AINL,AIBR,1
AINL,AINR,1
AINL,ASGR,1
AINL,AUAR,3
AINL,BAGL,1
AINL,CEPshVR,1
